,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,project,condition,rep_name,reference_condition,strain_description,base_media,carbon_source,nitrogen_source,aerobicity,supplement,temperature,pH,growth_phase,OD,additional_notes,R1,R2,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
SRX3467357,2017-12-15 12:59:19,330779,Sulfolobus acidocaldarius DSM 639,2285,183924,330779,Sulfolobus acidocaldarius,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR6372035,SRP126646,PRJNA422245,422245,SRS2755074,SAMN08167664,SRA638170,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4828647,8167664,GSE108018,GSM2886876,30948713.0,MW001,wild type,FadR,wt_p,1.0,wt_p,Uracil auxotrophic strain for genetic experiments (1),Brock,sucrose(?),(NH4)2SO4(1.3),,"0.2% sucrose, 0.2% NZamine, 10µg/mL uracil",75.0,3.5,,,,,,True,True,True,True,FadR:wt_p,True,True
SRX3467358,2017-12-15 12:59:19,330779,Sulfolobus acidocaldarius DSM 639,2285,183924,330779,Sulfolobus acidocaldarius,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR6372036,SRP126646,PRJNA422245,422245,SRS2755075,SAMN08167663,SRA638170,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4828648,8167663,GSE108018,GSM2886877,30948713.0,MW001,wild type,FadR,wt_p,2.0,wt_p,Uracil auxotrophic strain for genetic experiments (2),Brock,sucrose(?),(NH4)2SO4(1.3),,"0.2% sucrose, 0.2% NZamine, 10µg/mL uracil",75.0,3.5,,,,,,True,True,True,True,FadR:wt_p,True,True
SRX3467359,2017-12-15 12:59:19,330779,Sulfolobus acidocaldarius DSM 639,2285,183924,330779,Sulfolobus acidocaldarius,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR6372037,SRP126646,PRJNA422245,422245,SRS2755076,SAMN08167662,SRA638170,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4828649,8167662,GSE108018,GSM2886878,30948713.0,MW001,saci_1107 knock out,FadR,ko_p,1.0,wt_p,Uracil auxotrophic strain for genetic experiments (1),Brock,sucrose(?),(NH4)2SO4(1.3),,"0.2% sucrose, 0.2% NZamine, 10µg/mL uracil",75.0,3.5,,,,,,True,True,True,True,FadR:ko_p,True,True
SRX3467360,2017-12-15 12:59:19,330779,Sulfolobus acidocaldarius DSM 639,2285,183924,330779,Sulfolobus acidocaldarius,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRR6372038,SRP126646,PRJNA422245,422245,SRS2755077,SAMN08167661,SRA638170,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4828650,8167661,GSE108018,GSM2886879,30948713.0,MW001,saci_1107 knock out,FadR,ko_p,2.0,wt_p,Uracil auxotrophic strain for genetic experiments (2),Brock,sucrose(?),(NH4)2SO4(1.3),,"0.2% sucrose, 0.2% NZamine, 10µg/mL uracil",75.0,3.5,,,,,,True,True,True,True,FadR:ko_p,True,True
SRX3565164,2018-01-16 10:33:12,2285,Sulfolobus acidocaldarius,2285,183924,2285,Sulfolobus acidocaldarius,SINGLE,ILLUMINA,NextSeq 500,SRR6475345,SRP129767,PRJNA403205,403205,SRS2837347,SAMN07621836,SRA647048,RNA-Seq,other,TRANSCRIPTOMIC,,JGI,0,0,4950666,7621836,,,,98-3,,GDGT,75_2.4_log,2.0,75_2.4_log,Sulfobus acidocaldarius DSM 639,Brock,,(NH4)2SO4(1.3),,,75.0,2.4,Log phase (B),,,,,True,True,True,True,GDGT:75_2.4_log,True,True
SRX3565165,2018-01-16 10:32:11,2285,Sulfolobus acidocaldarius,2285,183924,2285,Sulfolobus acidocaldarius,SINGLE,ILLUMINA,NextSeq 500,SRR6475344,SRP129766,PRJNA403236,403236,SRS2837346,SAMN07621191,SRA647048,RNA-Seq,other,TRANSCRIPTOMIC,,JGI,0,0,4950667,7621191,,,,98-3,,GDGT,80_3.5_stat,3.0,75_2.4_log,Sulfobus acidocaldarius DSM 639,Brock,,(NH4)2SO4(1.3),,,80.0,3.5,Stationary phase (C),,,,,True,True,True,True,GDGT:80_3.5_stat,True,True
SRX3565166,2018-01-16 10:31:11,2285,Sulfolobus acidocaldarius,2285,183924,2285,Sulfolobus acidocaldarius,SINGLE,ILLUMINA,NextSeq 500,SRR6475343,SRP129765,PRJNA403224,403224,SRS2837345,SAMN07621287,SRA647048,RNA-Seq,other,TRANSCRIPTOMIC,,JGI,0,0,4950668,7621287,,,,98-3,,GDGT,80_2.4_log,3.0,75_2.4_log,Sulfobus acidocaldarius DSM 639,Brock,,(NH4)2SO4(1.3),,,80.0,2.4,Log phase (C),,,,,True,True,True,True,GDGT:80_2.4_log,True,True
SRX3565167,2018-01-16 10:32:11,2285,Sulfolobus acidocaldarius,2285,183924,2285,Sulfolobus acidocaldarius,SINGLE,ILLUMINA,NextSeq 500,SRR6475342,SRP129769,PRJNA403213,403213,SRS2837349,SAMN07620962,SRA647048,RNA-Seq,other,TRANSCRIPTOMIC,,JGI,0,0,4950669,7620962,,,,98-3,,GDGT,75_3.5_stat,1.0,75_2.4_log,Sulfobus acidocaldarius DSM 639,Brock,,(NH4)2SO4(1.3),,,75.0,3.5,Stationary phase (A),,,,,True,True,True,True,GDGT:75_3.5_stat,True,True
SRX3565168,2018-01-16 10:31:12,2285,Sulfolobus acidocaldarius,2285,183924,2285,Sulfolobus acidocaldarius,SINGLE,ILLUMINA,NextSeq 500,SRR6475341,SRP129768,PRJNA403220,403220,SRS2837348,SAMN07621299,SRA647048,RNA-Seq,other,TRANSCRIPTOMIC,,JGI,0,0,4950670,7621299,,,,98-3,,GDGT,80_1.6_stat,2.0,75_2.4_log,Sulfobus acidocaldarius DSM 639,Brock,,(NH4)2SO4(1.3),,,80.0,1.6,Stationary phase (B),,,,,True,True,True,True,GDGT:80_1.6_stat,True,True
SRX3565169,2018-01-16 10:31:12,2285,Sulfolobus acidocaldarius,2285,183924,2285,Sulfolobus acidocaldarius,SINGLE,ILLUMINA,NextSeq 500,SRR6475340,SRP129772,PRJNA403221,403221,SRS2837352,SAMN07621288,SRA647048,RNA-Seq,other,TRANSCRIPTOMIC,,JGI,0,0,4950671,7621288,,,,98-3,,GDGT,80_1.6_stat,3.0,75_2.4_log,Sulfobus acidocaldarius DSM 639,Brock,,(NH4)2SO4(1.3),,,80.0,1.6,Stationary phase (C),,,,,True,True,True,True,GDGT:80_1.6_stat,True,True
